                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2979,                 2.8432,                 1.8629,                0.23722,                0.31848,                0.18754,                0.05167,                  2.699,                 2.2546,                 1.3494,             0.00045728,             0.00045728,             0.00045728
                      2,                 2.7562,                 1.8524,                 1.4549,                0.42258,                0.35771,                0.32653,                0.11645,                 2.6216,                 1.6411,                 1.4512,             0.00091965,             0.00091965,             0.00091965
                      3,                 2.6471,                 1.7573,                 1.4285,                0.43946,                0.36577,                0.33321,                0.11573,                 2.5573,                 1.6385,                 1.4028,              0.0013727,              0.0013727,              0.0013727
                      4,                 2.6228,                 1.7461,                 1.3689,                0.47811,                 0.3938,                0.37058,                0.14039,                 2.4072,                 1.6205,                 1.3207,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.6054,                 1.7785,                 1.3742,                0.45611,                0.39165,                0.36414,                0.13461,                 2.3917,                 1.6439,                  1.318,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.5462,                 1.7233,                 1.3404,                0.52121,                0.40267,                0.41605,                0.15506,                 2.3937,                 1.5622,                 1.3219,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.5228,                 1.7267,                 1.3474,                0.52262,                0.40949,                0.42508,                0.16032,                 2.3573,                 1.5587,                 1.2977,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.4915,                 1.7029,                 1.3513,                0.46391,                0.41823,                0.40367,                0.15197,                 2.3883,                 1.5899,                 1.3148,              0.0013441,              0.0013441,              0.0013441
                      9,                 2.4994,                 1.6908,                 1.3328,                0.55747,                0.41738,                0.43693,                0.16305,                 2.3806,                 1.5943,                 1.3048,                0.00133,                0.00133,                0.00133
                     10,                 2.4668,                  1.687,                 1.3178,                0.55461,                0.41873,                0.44092,                0.17117,                 2.3401,                 1.5505,                 1.2939,              0.0013158,              0.0013158,              0.0013158
                     11,                 2.4848,                 1.7013,                 1.3295,                0.51084,                0.43301,                0.43431,                0.16353,                 2.3287,                 1.6338,                 1.2644,              0.0013017,              0.0013017,              0.0013017
                     12,                 2.4765,                 1.6723,                 1.3014,                0.54474,                0.43185,                0.44219,                0.16353,                 2.3891,                 1.5523,                 1.2878,              0.0012875,              0.0012875,              0.0012875
                     13,                 2.4265,                 1.6794,                 1.2994,                0.56225,                0.42369,                0.44358,                0.17398,                 2.3106,                 1.5736,                  1.263,              0.0012734,              0.0012734,              0.0012734
                     14,                 2.4506,                 1.6669,                    1.3,                 0.5792,                0.41586,                0.44978,                0.17158,                 2.3023,                 1.5563,                 1.2591,              0.0012592,              0.0012592,              0.0012592
                     15,                 2.4088,                 1.6487,                 1.2837,                0.60019,                0.43433,                0.45714,                0.17069,                  2.286,                 1.5705,                 1.2553,              0.0012451,              0.0012451,              0.0012451
                     16,                 2.4397,                 1.6787,                 1.3052,                0.57842,                0.42287,                0.45484,                0.17517,                 2.2905,                 1.5725,                 1.2627,              0.0012309,              0.0012309,              0.0012309
                     17,                 2.4347,                 1.6792,                 1.2986,                0.55585,                  0.421,                0.43904,                0.16876,                 2.2728,                 1.5746,                 1.2449,              0.0012168,              0.0012168,              0.0012168
                     18,                 2.3996,                    1.7,                 1.2888,                0.57626,                0.43218,                0.46233,                0.17661,                 2.2883,                 1.5623,                  1.259,              0.0012026,              0.0012026,              0.0012026
                     19,                 2.3958,                 1.6724,                 1.2711,                0.55064,                0.45178,                0.46996,                0.17605,                 2.2719,                 1.5477,                 1.2359,              0.0011885,              0.0011885,              0.0011885
                     20,                 2.3945,                  1.643,                 1.2876,                 0.5752,                0.40926,                0.44638,                0.17628,                 2.2548,                 1.5721,                  1.234,              0.0011744,              0.0011744,              0.0011744
                     21,                  2.397,                  1.682,                 1.2683,                 0.5825,                0.45474,                0.47526,                0.18199,                 2.2734,                 1.5366,                  1.243,              0.0011602,              0.0011602,              0.0011602
                     22,                 2.4069,                 1.6488,                  1.284,                0.57405,                0.44867,                0.47117,                0.17604,                 2.3328,                 1.5372,                 1.2618,              0.0011461,              0.0011461,              0.0011461
                     23,                 2.3712,                 1.6527,                 1.2809,                0.58614,                0.46465,                0.47673,                0.18176,                 2.2704,                  1.535,                  1.247,              0.0011319,              0.0011319,              0.0011319
                     24,                 2.3628,                 1.6222,                 1.2482,                0.54816,                0.39732,                0.43378,                0.16742,                 2.3146,                 1.5889,                 1.2506,              0.0011178,              0.0011178,              0.0011178
                     25,                 2.3915,                 1.6485,                 1.2559,                0.59071,                0.45305,                0.46561,                 0.1805,                 2.2337,                 1.5673,                 1.2287,              0.0011036,              0.0011036,              0.0011036
                     26,                   2.36,                 1.6168,                 1.2485,                0.57474,                0.42776,                 0.4636,                0.16983,                 2.3219,                 1.5378,                 1.2494,              0.0010895,              0.0010895,              0.0010895
                     27,                 2.3902,                 1.6437,                 1.2565,                0.61013,                0.42396,                0.46563,                0.18083,                 2.2519,                 1.5531,                 1.2169,              0.0010753,              0.0010753,              0.0010753
                     28,                 2.3529,                 1.6314,                 1.2518,                0.61569,                0.39693,                0.45866,                0.17335,                  2.274,                 1.5957,                  1.224,              0.0010612,              0.0010612,              0.0010612
